,date,months_supply,closed_sales,median_price,homes_for_sale,average_price,median_income,rate_of_inflation,population,growth,growth_rate,unemployment_rate,fed_funds,income_was_missing
56,2021-09-01,1.81,583,147,1401,168,55512.0,4.0,289958.0,264.0,0.0009,3.6,0.08,True
57,2021-10-01,1.76,564,146,1422,169,55512.0,4.6,289958.0,264.0,0.0009,3.5,0.08,True
58,2021-11-01,1.61,545,155,1362,184,55512.0,4.9,289958.0,264.0,0.0009,3.1,0.08,True
59,2021-12-01,1.18,589,151,1270,176,55512.0,5.5,289958.0,264.0,0.0009,3.0,0.08,True
60,2022-01-01,1.66,421,162,1329,180,55512.0,6.0,290222.0,264.0,0.0009,3.5,0.08,True
61,2022-02-01,1.63,448,160,1414,183,55512.0,6.4,290222.0,264.0,0.0009,3.4,0.08,True
62,2022-03-01,1.31,550,165,1492,189,55512.0,6.5,290222.0,264.0,0.0009,3.4,0.2,True
63,2022-04-01,1.35,542,173,1614,196,55512.0,6.2,290222.0,264.0,0.0009,2.6,0.33,True
64,2022-05-01,1.48,549,179,1806,209,55512.0,6.0,290222.0,264.0,0.0009,2.6,0.77,True
65,2022-05-01,1.48,549,179,1806,209,55512.0,6.0,290222.0,264.0,0.0009,2.6,0.77,True
